Stars,Review Text,Review Date,Review Usefulness,Random,Sentiment Label,Sentiment Score
5.0 out of 5 stars,"Received the Roomba and everything was self explanatory.  I downloaded the app to my Android phone and had it connected to my wi-fi in less than five minutes.  After charging several hours, ""Mable"" was itching to get started.I sent her out and she amazed me.  Her sensors slow her down as she approached walls so she only lightly bumps into them.She easily went from hardwood to carpet.  She deep cleans both.  The carpet was lifted as she went alongWhen emptying the collection bin, it had tons of hair as well as very fine dirt.  She got under the table, couch, bed and dresser...My house has NEVER been this clean.","Reviewed in the United States on April 8, 2019",2 people found this helpful,1,POSITIVE,0.9935157299041748
5.0 out of 5 stars,"This Roomba has blown my mind! I have 2 dogs that shed like crazy. I have to sweep and vacuum twice daily. So I set up a daily schedule for Steve(yes he has a name) and then place him to spot clean once if needed. He does take a long time but I'm good with it because I'm not doing it. Lol. Steve does struggle with mirror finished furniture but to me that makes sense and he isn't damaging the furniture so no real issue there.To sum it up, this might be the best purchase I've ever made.","Reviewed in the United States on February 3, 2020",2 people found this helpful,1,POSITIVE,0.9928722977638245
5.0 out of 5 stars,"My husband, the retired chef, tends to just chop/dice and swipe it off the counter onto the floor like he's back at his restaurant with a cleaning crew. I tend to shed as much as our long haired cat.  We named our Roomba Rosie, from the Jetson's Cartoon, and after only two days, I can tell you Rosie is my new favorite relative!  She has mastered the main portions of the house with no programing on my part, that's a big plus for me.  We're running her right now when we can watch her, because the cat and the grandson really get a kick out of that, but eventually, we'll just push her clean button at night before we go to bed and wake up to clean floors!","Reviewed in the United States on April 15, 2021",2 people found this helpful,1,NEGATIVE,0.942748486995697
1.0 out of 5 stars,"Bought this Vacuum to replace a Shark Ion which we had used for 3 years until it had issues.  Wish I would have got another shark.  This thing is LOUD, finds its way back to the dock but doesn't make contact with the charging pads because of misalignment.  It tries a few times and then just stops and its battery dies.  The app works great and the integration with our Google Home is great.  It is especially helpful when it sends a push notification to my phone saying it is stuck near a cliff, only to go and find that it has stopped in the middle of the room.","Reviewed in the United States on February 18, 2020",2 people found this helpful,1,POSITIVE,0.6977266669273376
5.0 out of 5 stars,"We mainly got this for keeping up with dog hair. We have 2 white dogs, and they shed horribly. We have a fairly open house, and it gets the whole lower level easily. Occasionally it locks itself in the bathroom 😂 we have tile, wood, and a rug and it has no problem. It's not the quietist, but we run it at night or while we're at work and it's great. My dogs don't seem to mind It so much, may just go upstairs so they aren't bothered by it. We don't pull out the vacuum but every week or two, unlike EVERY day before!!! Totally worth it.","Reviewed in the United States on March 24, 2020",2 people found this helpful,1,POSITIVE,0.9916030168533325
1.0 out of 5 stars,"Worked well for the first two months, then it stopped docking itself. After that, I could manually put it on the charger and it would charge and work fine. Now, almost a year after purchasing I cannot put it on the charger and get a connection. I’ve cleaned the connectors and still can not get it to charge. It’s great when it works right, but for $250, I feel like it should at least hold up for at least a year. I will update if the company decides to replace.","Reviewed in the United States on April 4, 2021",2 people found this helpful,1,NEGATIVE,0.9745031595230103
3.0 out of 5 stars,"My biggest complaint is that the patterns seem too random, it would take hours I think to clean the 4 rooms on the floor it's on. It also has pretty limited dirt storage capacity.Has difficulty finding it's home base from any other room.The little brushes it uses also seem to just throw the dirt away from the robot instead of into it's suction part.Set up was pretty simple.","Reviewed in the United States on December 10, 2020",2 people found this helpful,1,NEGATIVE,0.9996920228004456
5.0 out of 5 stars,This thing will tactically run into walls and bump things along the way for the cleanliness of your floors. The occasional “stuck” moments beats physically vacuuming or sweeping any day of the week. This thing is awesome. I have hardwood and a pretty thick area rug with lots of weird little textures on it. Thing just off roads on and off no problem and vacuums the rug pretty dang well. This exceeded my expectations entirely it gets everywhere and I have two shedding cats. I haven’t swept since I got it now I can just go straight to mopping when need be.,"Reviewed in the United States on April 29, 2021",2 people found this helpful,1,POSITIVE,0.9959774613380432
1.0 out of 5 stars,"Have used this twice.  Received Monday September 14, 2019.  Will not connect to WiFi, will not dock on its own or when dock button is pushed, just goes on and continues roaming around.  We have a Pyreneese dog so lots of hair, have to clean brushes and wheels 4 or 5 times for just one room.  It doesn’t have a large enough collection bin for much of anything.  Has no mapping ability without WiFi so have to set up barricade to keep it where I want it to vacuum.  I have to keep finding it, gets stuck and turns off, under bed, in a corner, under the sofa.  Not sure if I will keep, pretty expensive to not do what it is supposed to.  If you have any dog with long hair this is not for you!","Reviewed in the United States on September 17, 2019",2 people found this helpful,1,NEGATIVE,0.9994283318519592
2.0 out of 5 stars,"I was excited for the roomba since I moved into a smaller space, was hoping for an easy clean. But this roomba is terrible. Wonders randomly, I watched it do a full clean and missed a big chunk of the room. And even places I watched it go over, litter and hair were still there on the floor. I should’ve used the money I spent on this to just buy a small vacuum since I have to vacuum the area anyway","Reviewed in the United States on November 17, 2020",2 people found this helpful,1,NEGATIVE,0.9996792674064636
4.0 out of 5 stars,"Your browser does not support HTML5 video.


   We ordered the vacuum for our new house. We only use it for the open areas of the living room, dining room, kitchen, sun room and bar area. All are wood flooring but 2 area rugs in dining and living room.This is good for daily runs to pick up pet hair, we have 2 dogs and a cat, and dirt from outside. It runs for about 1 1/2 hours and can get most spots. A good purchase for our use.Downfalls are that we still use vacuum to deep clean the carpets since the robot only picks up the hair on the top and suction is not good enouth to get everything.  The furniture isn't moved but the robot still seems to get lost or cannot map the area very well. It runs into the table, couch and end tables all the time. It also doesn't always return to the charging station so you have to find it and put it back on.No issues emptying the bin daily and still feel it was a good purchase. To me, it is not worth the extra money to upgrade and get one that will self empty on its dock since you still have to empty that.","Reviewed in the United States on March 24, 2020",3 people found this helpful,1,NEGATIVE,0.9961355924606323
2.0 out of 5 stars,"We read a lot of reviews about how great this model of robot vacuum was but unfortunately we have yet to see this performance. This guy moves around in circles forever and just knocks crumbs and dust around the hardwood floors. Most of the time the little bugger makes more of a mess than before we turned it on. Lastly, he’s load as heck. We can’t have a normal conversation without yelling when he spins on by. It’s a cool idea but this is definitely a let down. Price doesn’t match the performance.","Reviewed in the United States on September 20, 2020",3 people found this helpful,1,NEGATIVE,0.9996743202209473
1.0 out of 5 stars,"I’ve had a Neato and a Shark robot vac. Both other brands are infinitely better than this Roomba.  While the Roomba is faster than the others, it doesn’t vacuum nearly as well. Not at all.  Also, with the Shark and Neato, you can lay the magnetic strips to block certain areas. These do not work with the Roomba - at least not mine. It always goes to exactly where you’re trying to keep it away from and gets stuck. I absolutely hate this machine. Now it doesn’t even seem to be charging appropriately. After four failed attempts yesterday where the Roomba kept needing to redock to charge, I fired up my old Neato that did the job perfectly. I’d love to watch this Roomba roll right off a cliff. Or be dropped from a plane.","Reviewed in the United States on June 14, 2021",3 people found this helpful,1,NEGATIVE,0.9978433847427368
3.0 out of 5 stars,"I was definitely let down by this purchase. I was really excited to get a Roomba to keep up with the floors throughout my house. I work a lot and don’t always feel like vacuuming, so when it went on sale around Christmas time I bought it! It’s been a little over a month and I’m really not impressed. It just doesn’t get the job done. Maybe I should've bought a newer version.","Reviewed in the United States on January 31, 2021",3 people found this helpful,1,NEGATIVE,0.9991532564163208
1.0 out of 5 stars,Stoped working with scheduling on phone about six months after purchase,"Reviewed in the United States on May 13, 2020",3 people found this helpful,1,NEGATIVE,0.9995848536491394
5.0 out of 5 stars,"Best gift I’ve given to myself!! Works well, cleans dirt and dog hair (3 dogs). Slightly loud— not as loud as a traditional vacuum but noisey. Only downside is the area for dirt is small, and requires frequent emptying. Goes over hardwood and rugs but has trouble with higher carpet like our bathroom mat. I was really hesitant but I’m glad I purchased. Makes my life easier; worth the money.","Reviewed in the United States on January 27, 2021",3 people found this helpful,1,POSITIVE,0.9434633255004883
4.0 out of 5 stars,"Pros: works with Alexa, nice app, cleans well, easy to useCons: very loud, crashes into a lot of things hard, gets outsmarted by an area rug with a black edge and thinks it stuck on a cliff, gets itself stuck under cabinetsI have this and a cheaper Coredy vacuum, I like the other one better even though it can't connect to alexa.","Reviewed in the United States on May 15, 2021",3 people found this helpful,1,NEGATIVE,0.9822294116020203
5.0 out of 5 stars,"I purchased this at the recommendation of my old boss who is one of the most meticulous people I know, and I’m super meticulous. I couldn’t be happier with “Rosie” (that’s what we named her)  we have two dogs and lots of leaves that get tracked inside daily. Rosie does such  an amazing job from carpet to hardwood floors collecting everything, getting under the beds, getting into the corners and the right corners. I love that it works with Alexa and that she can be scheduled to start and stop. She just does her thing for a couple of hours. All I know is that my floors have never been cleaner. I feel my home is cleaner as she sweeps everyday for a couple of hours. So worth the investment.","Reviewed in the United States on February 22, 2020",3 people found this helpful,1,POSITIVE,0.9997032284736633
1.0 out of 5 stars,"This product worked for only 4 months.  We spent hours that stretched over months trying to get a replacement. The company instead sent one part after another instead of just replacing their own product.  If you want OK quality, poor service and the run around then this is the product for you!","Reviewed in the United States on April 8, 2021",3 people found this helpful,1,NEGATIVE,0.9988054037094116
2.0 out of 5 stars,"It’s great when it works. But, I spend more time trying to get it exactly aligned on the charger than it spends cleaning. Totally defeats the daily cleaning when I’m at work because it never gets itself back on the charger properly.If I remember to mess with it for 10 minutes every night and get it on the charger then it’s a great tool. Perfect for the daily pick up of dog hair between deep cleaning.","Reviewed in the United States on January 4, 2021",3 people found this helpful,1,NEGATIVE,0.8462769389152527
5.0 out of 5 stars,"Wife loves it. I don’t know why as I’m the one who operates it all the time lol. We only use it on tile floors to primarily clean cat and my wife’s long hair. Does both well, although the long hair wraps around the whirling side brush. I have to pull it out, a minor job. Leaves the floor clean enough for bare feet. The little catch basket is painless to remove and empty.","Reviewed in the United States on February 9, 2021",6 people found this helpful,1,NEGATIVE,0.9932321906089783
4.0 out of 5 stars,"Likes: Cleans the one area rug really well.  Good at getting the pet hair tumbleweeds from corners and under furniture. Able to go up/down significant “steps” between rooms (1856 farmhouse with lots of settling) without issue.  Super easy to connect to WiFi and set schedule.Dislikes:  I have this downstairs where I have a kitchen, living room, mud room and hallway.  It spends most of its time in the living room and hallway.  I have to put up barricades to those areas so it spends time in the kitchen and mud room, otherwise it seems to do a few passes through those areas and go back to the living room.  Getting back to it’s dock on its own is 50:50.  A lot of the time I find it inexplicably dead in the middle of the floor.","Reviewed in the United States on September 3, 2019",6 people found this helpful,1,NEGATIVE,0.5098246932029724
4.0 out of 5 stars,"Perfect for pets. It picks up most of the dog and cat hair. So I only have to do a quick sweep and I’m done. However, I regret not spending a little more money and getting the better version. It was still with the price I got it at ( was on sale for 189 or something). However make sure there’s no dog pee or poop surprise on the ground. Our roomba (Named Kevin bc he’s always home alone) ran into a puddle of dog piss and sprayed it everywhere with its brushes. AND STILL SMELLS FAINTLY LIKE PEE. But other words still a great help.","Reviewed in the United States on February 19, 2020",6 people found this helpful,1,NEGATIVE,0.9946069121360779
2.0 out of 5 stars,"I bought this for my parents as a Christmas gift and am not impressed at all. I own a Eufy 25C which is way better. The Rumba only has one spinning brush head, it does not come with a remote, the app is not that great, and it's significantly louder than the Eufy. The Rumba walls are very expensive, and we've already had to replace the side spinning brush head as the other one stopped working and they make it impossible to take apart. Would not recommend.","Reviewed in the United States on October 26, 2020",6 people found this helpful,1,NEGATIVE,0.9972774982452393
4.0 out of 5 stars,"This is life altering! I have a 5 year old, a 3 year old, two large long haired dogs, and two cats. My kids are EXCITED to clean and turn on “Ruby the Robot” every night. I was worried about the small size, but no need. Because it runs every night, that is not a problem. I have not vacuumed in 3 weeks, and there is no hair anywhere! It gets in hard to reach places as well. The beater bar is especially easy to remove and clean. The waste bin is easy to empty.  Even my husband loves it (and he was not a fan of getting one.)","Reviewed in the United States on January 22, 2020",6 people found this helpful,1,NEGATIVE,0.9761134386062622
5.0 out of 5 stars,"I love Chloe (my Roomba)! I have a dog and a cat inside, and it picks up all of the hair. It has my home remaining clean, and it's such a help once the floors are mopped and re-vaccumed by my wife. She has had her floor cleaning time cut in half (per her). She loves the extra help. She has it scheduled to clean on certain days, and thanks me often for the purchase. I'm happy when she is happy!","Reviewed in the United States on November 29, 2018",6 people found this helpful,1,POSITIVE,0.9986584782600403
5.0 out of 5 stars,"This guy is fantastic.  I was really impressed actually. I have had some construction going on at my house for the last few months.  Making it kind of pointless to vacuum.Got him. I named him Charlie, for Christmas and it got all kinds of junk from the rugs that had been ground in over the past however long the workers have been here.  It’s work fantastic.  It didn’t get clogged even once.","Reviewed in the United States on January 21, 2021",6 people found this helpful,1,NEGATIVE,0.761173665523529
5.0 out of 5 stars,My Mom and 2 sisters have been telling me to get a roomba for a couple of years.  We have 3 dogs and a siamese cat.I recommend doing a deep clean/clear as you introduce the roomba to each room of your house - then set it to clean daily.  Mine handles changes from floor to rugs to carpet without issue.  It’s easy to operate with the app and easy to clean/maintain.  I highly recommend.,"Reviewed in the United States on November 11, 2020",6 people found this helpful,1,POSITIVE,0.9995288252830505
2.0 out of 5 stars,"I have had this vacuum just over a year and have had to clean it a few times due to it accidently running over dog poop. Not a fun cleaning experience at all. The bristles on the brush are hard to get any hair out of, and just over a year not used only about once a week the battery will not hold a charge to get through and entire cleaning cycle. It does not clean carpets very well and if you have a rug with any lose fringe it will grab it and tear the rug  up. It also has a hard time in my kitchen where my dishwasher is placed and has gotten stuck many times under the dishwasher and has scratched the entire top of the vacuum. Will not spend this kind of money on a vacuum again, most of the time I get my regular vacuum up because it cleans up better and faster.","Reviewed in the United States on February 17, 2021",6 people found this helpful,1,NEGATIVE,0.9995020031929016
2.0 out of 5 stars,"I purchased this to vacuum my office each evening. It needed a new battery in less than 6 months, then I realized after getting the new battery, that it was never working well, as it moved twice as fast and stopped getting stuck. Now about 2 weeks after putting a new battery in it, it won't charge. I've done all the trouble shooting and I'm simply at a loss. I'm very disappointed :(","Reviewed in the United States on December 22, 2020",6 people found this helpful,1,NEGATIVE,0.9997581839561462
5.0 out of 5 stars,"This item works great! It pick up way more stuff off the floor then I thought it would! It really can replace a regular vacuum. We have carpet almost everywhere in my house and it works great! Was very pleasantly surprised. It also has an app that you can download on your phone and you can start the vacuuming process when you’re out of the house. The battery lasts for about 3 hours, but it doesn’t take long to charge back up. Very glad I purchased this and would recommend it!","Reviewed in the United States on October 7, 2020",No Data,1,POSITIVE,0.9996042251586914
5.0 out of 5 stars,"I LOVE my roomba. I bought it to help my husband’s allergies. I’m not a great house keeper, but I will run this thing 2-3 times a week and it does inspire me to be a little bit better house keeper. I do have two cats (one of which is incredibly fluffy) and a dog, so I only run it when I’m home because I’ve heard the horror stories about roomba+poop. Also, I only have place rugs, no carpet.With all of the pet hair and my hair I do have to clean the brushes of hair about every other run of the house (1100 square feet), but it is incredibly easy to open up the brush compartment, remove them, pull/cut the hair off, and reinstall.Things of note:-the pattern is VERY erratic to the observer, but it does get to everything. If you can’t deal with this it’s probably not for you.-it works great for hair, but you have to put in a small effort keep the brushes clean-police cords before running-I have never felt floors so clean before. It really does break up embedded dirt, although I still run a swifter every so often.","Reviewed in the United States on September 13, 2019",No Data,1,POSITIVE,0.9862330555915833
5.0 out of 5 stars,"We did return the vacuum, even though it was as advertised and did an excellent job of cleaning.  Our problem was that we had just downsized from a 2200sf house to a 900sf apartment and have a lot of ""stuff"" sitting on the floors causing too many obstacles for the unit to avoid.  We had to be with it almost constantly to remove items from its path and, sometimes had to pick it up to avoid them.  This is our bad, not a problem with the machine.  We certainly would recommend it to anyone that has wide open spaces for it to roam about in.","Reviewed in the United States on May 12, 2020",No Data,1,NEGATIVE,0.9297130107879639
4.0 out of 5 stars,"My device is still trying to figure out the layout of the house and I had difficulty finding a spot where I could place it. It needs to have plenty of unobstructed space around it, including above it, in order for it to dock. In a smaller home that is problematic. I don't recommend leaving it alone while it is running as it can get caught and knock light weight items over. Pets may find it scary and annoying, especially when it moves their toys around. It does a great job cleaning the floors and love the fact that it goes under beds, tables and dressers. Now if it could only close and open doors so that dust bunnies behind the doors get sucked up.","Reviewed in the United States on January 30, 2019",No Data,1,NEGATIVE,0.99567711353302
5.0 out of 5 stars,"Your browser does not support HTML5 video.


   I’ve been wanting a roomba for years. I finally got one and it was worth every penny. I run it everyday because we have two pugs that shed a lot. It amazes me how much it picks up! It works with the amazon echo so you can give Alexa commands to start or stop the roomba. My only gripe is that when you tell it to dock it can sometimes take quite a while to find the dock and park.","Reviewed in the United States on August 9, 2020",No Data,1,POSITIVE,0.9683274626731873
5.0 out of 5 stars,"Gentlemen,Have you ever been on your gaming device and it’s suddenly occurred to you that your significant other told you at 3:23am to clean the house before she comes home? She pulls up in the driveway and you know you’re in trouble. All she wanted is a clean house. All you wanted was to relax and play video games. Did you know you can have the best of both worlds?What if I told you that you can clean your house for your S/O and still kick back and play video games? WHILE CLEANING. Get this thing. Your S/O will love you. You’ll get to kick back and have this thing clean for you. All you have to do is press one button on your phone. You’re already on your phone watching TikTok between games. Bonus: more action in bed.Thanks for coming to my Ted Talk.","Reviewed in the United States on April 24, 2021",No Data,1,NEGATIVE,0.9974702596664429
3.0 out of 5 stars,If you have carpet or area rugs keep looking. This model spends most of its time “stuck on a cliff” aka my area rug so I’m constantly babysitting it. It also tries to climb up my barstools so I have to remove them before starting it. When not stuck on a cliff it does clean well. Much easier and faster to vacuum the old fashioned way.,"Reviewed in the United States on June 24, 2021",No Data,1,POSITIVE,0.7557131052017212
5.0 out of 5 stars,"I had been wanting one of this for some time, but couldn't see the price.  THEN, I had to have major surgery, and couldn't use the vacuum.  I hired a cleaner at $25 per hour, minimum $50!  Are you kidding me?  Just to vacuum?  So, I bit the bullet and bought this irobot.  I love it!  I have long hair and it picks it up and keeps on moving.  It finds dust in places that have been neglected forever.  It makes my place so tidy and neat looking.  I really love this machine.  I even named her Rosie after the Jetson's robotic maid.","Reviewed in the United States on September 16, 2019",No Data,1,POSITIVE,0.9985018372535706
